seed,step_k,n_pairs_fast,n_pairs_slow,D_fast_sites,D_slow_sites,D_mean_sites,P,P_slow,P_fast,omega_mae,validity
3414,10,128,128,3.6484375,3.96875,3.80859375,0.5184659090909091,0.5454545454545454,0.4914772727272727,1.3439474616648672,1.0
3414,20,128,128,3.5234375,4.0625,3.79296875,0.5184659090909091,0.5426136363636364,0.4943181818181818,1.26103911616389,1.0
3414,50,128,128,3.25,3.9765625,3.61328125,0.5241477272727273,0.5568181818181818,0.4914772727272727,1.2667361159393191,1.0
3414,80,128,128,3.203125,4.1328125,3.66796875,0.4985795454545454,0.5255681818181818,0.4715909090909091,1.2958419778066437,1.0
3414,100,128,128,3.2578125,4.125,3.69140625,0.5142045454545454,0.5568181818181818,0.4715909090909091,1.2894731191715822,1.0
3415,5,128,128,13.4375,16.09375,14.765625,0.5492154065620543,0.6085714285714285,0.49002849002849,1.3616188588001017,0.9957386363636364
3415,10,128,128,13.53125,15.0,14.265625,0.5653409090909091,0.53125,0.5994318181818182,1.1415535499498377,1.0
3415,20,128,128,13.4921875,14.8125,14.15234375,0.5994318181818182,0.5965909090909091,0.6022727272727273,1.117954201977667,1.0
3415,50,128,128,13.46875,13.9140625,13.69140625,0.6051136363636364,0.5625,0.6477272727272727,1.0807313284343545,1.0
3415,80,128,128,13.421875,13.9921875,13.70703125,0.5994318181818182,0.5681818181818182,0.6306818181818182,1.0970795627130756,1.0
3415,100,128,128,13.4375,14.0859375,13.76171875,0.6150568181818182,0.5767045454545454,0.6534090909090909,1.0710458177447788,1.0
3416,5,128,128,13.4609375,13.5546875,13.5078125,0.53125,0.5113636363636364,0.5511363636363636,1.2626772912755844,1.0
3416,10,128,128,10.7578125,13.6796875,12.21875,0.5129310344827587,0.5706051873198847,0.4555873925501432,1.288946057965522,0.9886363636363636
3416,20,128,128,11.109375,12.734375,11.921875,0.5909090909090909,0.5795454545454546,0.6022727272727273,1.1147510406245282,1.0
3416,50,128,128,9.6015625,13.7421875,11.671875,0.6178977272727273,0.6079545454545454,0.6278409090909091,1.020249885107442,1.0
3416,80,128,128,9.1953125,12.71875,10.95703125,0.6221590909090909,0.6022727272727273,0.6420454545454546,1.0118961812120657,1.0
3416,100,128,128,9.0,13.015625,11.0078125,0.6349431818181818,0.6335227272727273,0.6363636363636364,0.997931727999646,1.0
3417,5,128,128,9.9453125,10.1328125,10.0390625,0.4616477272727273,0.5085227272727273,0.4147727272727273,1.5434199134472573,1.0
3417,10,128,128,9.984375,10.015625,10.0,0.5014204545454546,0.5113636363636364,0.4914772727272727,1.4179990534578173,1.0
3417,20,128,128,9.984375,9.984375,9.984375,0.5184659090909091,0.5369318181818182,0.5,1.3556033056139958,1.0
