seed,layer,relative_layer,N,global_projection,global_projection_ci_low,global_projection_ci_high,global_semantic_cosine,global_semantic_cosine_ci_low,global_semantic_cosine_ci_high,global_norm_ratio,global_norm_ratio_ci_low,global_norm_ratio_ci_high,global_orthogonal_ratio,global_orthogonal_ratio_ci_low,global_orthogonal_ratio_ci_high
3407,26,22,8,0.44368140302937975,0.3414627833023536,0.5356227158383603,0.6258371048821932,0.5317462228940483,0.7159785292166808,0.6910174067792938,0.6043802851183971,0.7636508633078338,0.517395880429494,0.4599369753566646,0.5694282508643793
3407,27,23,8,0.4437887908261178,0.3384916700540277,0.5370182807587253,0.6242863717325899,0.527500193244002,0.715586940283875,0.6921150921323223,0.6041188231573336,0.7670791258198524,0.5186840762574281,0.4611608335476345,0.5704274812749431
3407,28,24,8,0.44361044620484025,0.3401387205594665,0.5357183458131847,0.6233750675606409,0.5272717835568359,0.7151638317545617,0.6928361580426539,0.6063213653065903,0.7673781235404525,0.5198757664757523,0.464832491676522,0.5715102952079025
3407,29,25,8,0.44511521035714496,0.3384131888049735,0.5388421696364896,0.6251911200342671,0.5276569612175069,0.7166795587429765,0.6929146091579755,0.6040292348999476,0.7682341380504352,0.5186899707268912,0.4618507959987915,0.5695511880302666
3408,7,0,8,0.799444243632502,0.7464382238874558,0.8476465807188208,0.9049081808136058,0.8699902820407462,0.9336099356277436,0.8817985656716507,0.8532624364947304,0.9114922843752804,0.3604514159042893,0.3117550791679776,0.4091170502132909
3408,8,1,8,0.791832674747183,0.739952371297449,0.8419268827057884,0.9063424662712503,0.873827544732888,0.9350049544521801,0.8718984883567954,0.8418987101779853,0.903008642647424,0.3534914952338085,0.3048092137738013,0.3998684664035015
3408,9,2,8,0.7746049377179581,0.7124776440587124,0.8293231282395503,0.9090673266597511,0.8712316345426476,0.9405132615053259,0.8496645381480117,0.8123172278470869,0.8849195935203386,0.3345642919989086,0.28284742814666314,0.38484394084939194
3408,10,3,8,0.759736705143755,0.6935711070673196,0.8206093965760058,0.903811033036633,0.8636419509692899,0.9390232537781426,0.837627186675016,0.7976909105292351,0.8774464628923497,0.33735715315519765,0.2845594062694162,0.3875017339491267
3408,11,4,8,0.754156276211874,0.6896847307751642,0.8100323824764073,0.9094207769113418,0.8718660449292499,0.9413293100756879,0.8266170010586472,0.7860665187278885,0.8633588029362391,0.3242617264837865,0.27520616959107863,0.371973908724108
3408,12,5,8,0.7374645638772106,0.6617407904411796,0.8025679726667252,0.8974147298440778,0.8512578884907628,0.9378440443219842,0.8179467984310183,0.770806645116212,0.8599926926959567,0.3355582333950029,0.2816184717459493,0.3896120683190516
3408,13,6,8,0.7295824586058028,0.6561955163220105,0.7950241721357885,0.895963804840299,0.8510487779480419,0.9361616576717062,0.8105562534663551,0.7645434754241253,0.8534733889234059,0.3360330834232655,0.28370129678667355,0.3879331029571188
3408,14,7,8,0.6592356237624803,0.5690738974020761,0.7440340431676472,0.868672279276442,0.8164711288648611,0.9151732703789961,0.7526820225722957,0.6861285121677339,0.8185384993956929,0.3475919239025749,0.3028605392112549,0.3915173215066666
