receiver_id,history_regime,direction,split,site_index,site_label,gravity_hat_conflict,gravity_hat_aligned,gravity_hat_edited,normalized_recovery_g,valid,invalid_reasons,writable_indicator,common_strict
eval_50047_low,hist32,low,heldout,18,after_block_18,0.023563188214477223,0.01676586524119642,0.030308787037166298,-0.99239051155947,False,detected_frames_below_58,False,False
eval_50047_low,hist32,low,heldout,19,after_block_19,0.023563188214477223,0.01676586524119642,0.026941440050813566,-0.4969973987723863,False,detected_frames_below_58,False,False
eval_50047_low,hist32,low,heldout,20,after_block_20,0.023563188214477223,0.01676586524119642,0.024757883066661025,-0.17575961255334752,False,detected_frames_below_58,False,False
eval_50047_low,hist32,low,heldout,21,after_block_21,0.023563188214477223,0.01676586524119642,0.029366340348888822,-0.8537408266788068,False,detected_frames_below_58,False,False
eval_50047_low,hist32,low,heldout,22,after_block_22,0.023563188214477223,0.01676586524119642,0.03193884187187023,-1.2321988656882086,False,detected_frames_below_58,False,False
eval_50047_low,hist32,low,heldout,23,after_block_23,0.023563188214477223,0.01676586524119642,0.03260433585330798,-1.3301041710641186,False,detected_frames_below_58,False,False
eval_50047_low,hist32,low,heldout,24,after_block_24,0.023563188214477223,0.01676586524119642,0.024749888818047325,-0.17458352475450023,False,detected_frames_below_58,False,False
eval_50047_low,hist32,low,heldout,25,after_block_25,0.023563188214477223,0.01676586524119642,0.02496864092546607,-0.2067656217769049,False,detected_frames_below_58,False,False
eval_50047_low,hist32,low,heldout,26,after_block_26,0.023563188214477223,0.01676586524119642,0.023928546261736374,-0.053750285030638605,False,detected_frames_below_58,False,False
eval_50047_low,hist32,low,heldout,27,after_block_27,0.023563188214477223,0.01676586524119642,0.023961370522784166,-0.05857928332552892,False,detected_frames_below_58,False,False
eval_50047_low,hist32,low,heldout,28,after_block_28,0.023563188214477223,0.01676586524119642,0.02425975051731082,-0.10247597555268036,False,detected_frames_below_58,False,False
eval_50047_low,hist32,low,heldout,29,after_block_29,0.023563188214477223,0.01676586524119642,0.023563188214477223,-0.0,True,,False,True
eval_50067_low,hist32,low,heldout,0,after_block_0,0.022191077681429767,0.017172965214373385,0.017234132698679922,0.9878106589463473,True,,True,True
eval_50067_low,hist32,low,heldout,1,after_block_1,0.022191077681429767,0.017172965214373385,0.017400239750708795,0.9547091585078147,True,,True,True
eval_50067_low,hist32,low,heldout,2,after_block_2,0.022191077681429767,0.017172965214373385,0.017891924150031022,0.8567272175788087,True,,False,True
eval_50067_low,hist32,low,heldout,3,after_block_3,0.022191077681429767,0.017172965214373385,0.018065879849856754,0.8220616533915288,True,,False,True
eval_50067_low,hist32,low,heldout,4,after_block_4,0.022191077681429767,0.017172965214373385,0.01863199504300548,0.7092472840713434,True,,False,True
eval_50067_low,hist32,low,heldout,5,after_block_5,0.022191077681429767,0.017172965214373385,0.01915341404246445,0.6053398880370665,True,,False,True
eval_50067_low,hist32,low,heldout,6,after_block_6,0.022191077681429767,0.017172965214373385,0.021325990344436795,0.17239297498256978,True,,False,True
eval_50067_low,hist32,low,heldout,7,after_block_7,0.022191077681429767,0.017172965214373385,0.021697295513248383,0.09839998035576825,True,,False,True
eval_50067_low,hist32,low,heldout,8,after_block_8,0.022191077681429767,0.017172965214373385,0.020164286488581006,0.4038951311184292,True,,False,True
eval_50067_low,hist32,low,heldout,9,after_block_9,0.022191077681429767,0.017172965214373385,0.019804230334378028,0.4756464433033843,True,,False,True
eval_50067_low,hist32,low,heldout,10,after_block_10,0.022191077681429767,0.017172965214373385,0.016811764192905167,1.0719794591770275,True,,True,True
eval_50067_low,hist32,low,heldout,11,after_block_11,0.022191077681429767,0.017172965214373385,0.018325008345456507,0.7704230148992837,True,,False,True
eval_50067_low,hist32,low,heldout,12,after_block_12,0.022191077681429767,0.017172965214373385,0.015173752564983373,1.3983993309266638,True,,False,True
eval_50067_low,hist32,low,heldout,13,after_block_13,0.022191077681429767,0.017172965214373385,0.011264552014405778,2.1774174530276076,True,,False,True
eval_50067_low,hist32,low,heldout,14,after_block_14,0.022191077681429767,0.017172965214373385,0.015498078644331378,1.3337682407553717,True,,False,True
eval_50067_low,hist32,low,heldout,15,after_block_15,0.022191077681429767,0.017172965214373385,0.029649285395563125,-1.4862575845192911,False,detected_frames_below_58,False,False
eval_50067_low,hist32,low,heldout,16,after_block_16,0.022191077681429767,0.017172965214373385,0.028558602829507364,-1.2689084172345744,False,detected_frames_below_58,False,False
eval_50067_low,hist32,low,heldout,17,after_block_17,0.022191077681429767,0.017172965214373385,0.0243286688875247,-0.4259751490481923,False,detected_frames_below_58,False,False
eval_50067_low,hist32,low,heldout,18,after_block_18,0.022191077681429767,0.017172965214373385,0.022496094744059215,-0.06078322569130671,True,,False,True
eval_50067_low,hist32,low,heldout,19,after_block_19,0.022191077681429767,0.017172965214373385,0.020645813214142647,0.30793739228279393,True,,False,True
eval_50067_low,hist32,low,heldout,20,after_block_20,0.022191077681429767,0.017172965214373385,0.020550211359389475,0.32698874981628734,True,,False,True
eval_50067_low,hist32,low,heldout,21,after_block_21,0.022191077681429767,0.017172965214373385,0.023465185133967042,-0.25390173315200026,True,,False,True
eval_50067_low,hist32,low,heldout,22,after_block_22,0.022191077681429767,0.017172965214373385,0.024278556868627652,-0.41598892031656637,True,,False,True
eval_50067_low,hist32,low,heldout,23,after_block_23,0.022191077681429767,0.017172965214373385,0.02287220590130976,-0.13573394864135863,True,,False,True
eval_50067_low,hist32,low,heldout,24,after_block_24,0.022191077681429767,0.017172965214373385,0.022336324661482252,-0.028944544588433062,True,,False,True
eval_50067_low,hist32,low,heldout,25,after_block_25,0.022191077681429767,0.017172965214373385,0.02203920110888772,0.030265677291831966,True,,False,True
eval_50067_low,hist32,low,heldout,26,after_block_26,0.022191077681429767,0.017172965214373385,0.021321307605441916,0.17332614238876481,True,,False,True
eval_50067_low,hist32,low,heldout,27,after_block_27,0.022191077681429767,0.017172965214373385,0.021183194548757663,0.20084905216628726,True,,False,True
eval_50067_low,hist32,low,heldout,28,after_block_28,0.022191077681429767,0.017172965214373385,0.021420464631777575,0.15356631695906023,True,,False,True
eval_50067_low,hist32,low,heldout,29,after_block_29,0.022191077681429767,0.017172965214373385,0.022191077681429767,-0.0,True,,False,True
eval_50071_low,hist32,low,heldout,0,after_block_0,0.014975096701406117,0.005301204886937605,0.0051191136777562095,1.0188229528170922,True,,True,True
eval_50071_low,hist32,low,heldout,1,after_block_1,0.014975096701406117,0.005301204886937605,0.005106947326264654,1.0200806008996726,True,,True,True
