source,receiver_id,condition,gravity_true,gravity_hat_e3,gravity_hat_e0,fit_rmse,valid,invalid_reasons,detected_frames,detector_coverage,max_missing_run,max_adjacent_y_jump,future_r,future_g,future_b,future_color_coordinate
F4_source,eval_50034_low,after_block_24,0.01684377991700454,0.021529868944201145,,,True,,,,,,,,,
F4_source,eval_50034_low,after_block_25,0.01684377991700454,0.021575444459705103,,,True,,,,,,,,,
F4_source,eval_50034_low,after_block_26,0.01684377991700454,0.020803319722311663,,,True,,,,,,,,,
F4_source,eval_50034_low,after_block_27,0.01684377991700454,0.020622583515877157,,,True,,,,,,,,,
F4_source,eval_50034_low,after_block_28,0.01684377991700454,0.02087660464310272,,,True,,,,,,,,,
F4_source,eval_50034_low,after_block_29,0.01684377991700454,0.02151181316634574,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_0,0.005894401651397412,0.005804340475252606,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_1,0.005894401651397412,0.00599909137900197,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_2,0.005894401651397412,0.006677421729715316,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_3,0.005894401651397412,0.006647190853176721,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_4,0.005894401651397412,0.0066542157723102225,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_5,0.005894401651397412,0.006699239668393002,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_6,0.005894401651397412,0.01314997451531794,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_7,0.005894401651397412,0.013154883657778619,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_8,0.005894401651397412,0.016188549375597813,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_9,0.005894401651397412,0.022542961107569516,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_10,0.005894401651397412,0.02085050195377953,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_11,0.005894401651397412,0.02330012842475207,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_12,0.005894401651397412,0.018631857188380178,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_13,0.005894401651397412,0.013015666277696672,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_14,0.005894401651397412,0.012813169126529458,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_15,0.005894401651397412,0.014877734754270872,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_16,0.005894401651397412,0.013756995515024925,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_17,0.005894401651397412,0.012416191967795878,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_18,0.005894401651397412,0.012548556734527561,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_19,0.005894401651397412,0.01019895268236795,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_20,0.005894401651397412,0.012442173869802379,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_21,0.005894401651397412,0.01239552074920715,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_22,0.005894401651397412,0.011908939163109146,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_23,0.005894401651397412,0.009726343798748227,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_24,0.005894401651397412,0.00833755443786893,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_25,0.005894401651397412,0.008443565846313759,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_26,0.005894401651397412,0.011192613441191386,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_27,0.005894401651397412,0.011106703497320108,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_28,0.005894401651397412,0.011263100247146702,,,True,,,,,,,,,
F4_source,eval_50060_low,after_block_29,0.005894401651397412,0.01102143680323288,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_0,0.06567481243204965,0.06438247829319521,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_1,0.06567481243204965,0.06416862523389413,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_2,0.06567481243204965,0.059434438652372426,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_3,0.06567481243204965,0.0595968092798607,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_4,0.06567481243204965,0.05403141904849579,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_5,0.06567481243204965,0.05396578822275929,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_6,0.06567481243204965,0.05228072464919225,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_7,0.06567481243204965,0.05251404678138353,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_8,0.06567481243204965,0.05169604783243689,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_9,0.06567481243204965,0.04891693203927181,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_10,0.06567481243204965,0.049526836687459795,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_11,0.06567481243204965,0.0487770964639607,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_12,0.06567481243204965,0.05299638719351039,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_13,0.06567481243204965,0.05438307816011115,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_14,0.06567481243204965,0.05782476604423985,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_15,0.06567481243204965,0.06036580354676886,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_16,0.06567481243204965,0.06044450108455246,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_17,0.06567481243204965,0.058798430482207016,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_18,0.06567481243204965,0.05874211112547113,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_19,0.06567481243204965,0.05347709856476748,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_20,0.06567481243204965,0.051502574222058076,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_21,0.06567481243204965,0.05000784662596025,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_22,0.06567481243204965,0.04935390124363228,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_23,0.06567481243204965,0.04753376378492512,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_24,0.06567481243204965,0.048087829613681035,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_25,0.06567481243204965,0.048312696758169044,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_26,0.06567481243204965,0.04586902411328892,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_27,0.06567481243204965,0.045798300144577385,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_28,0.06567481243204965,0.04530310477401256,,,True,,,,,,,,,
F4_source,eval_50076_high,after_block_29,0.06567481243204965,0.044587682366255356,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_0,0.005143582295106868,0.004762122737942264,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_1,0.005143582295106868,0.004841505623425912,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_2,0.005143582295106868,0.005740607524891838,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_3,0.005143582295106868,0.005883211846794709,,,True,,,,,,,,,
F4_source,eval_50084_low,after_block_4,0.005143582295106868,0.006581365415824402,,,True,,,,,,,,,
