receiver_id,pair_id,condition,direction,gravity_hat_conflict,gravity_hat_aligned,gravity_hat_edited,recovery_denominator,normalized_recovery_g,valid,invalid_reasons,outcome,future_color_coordinate,future_r,future_g,future_b,fit_rmse,gravity_hat_e0,detector_coverage,max_missing_run,max_adjacent_y_jump,intervention_site,fm_calls_observed,fm_calls_expected,condition_prefix_tokens_edited,target_suffix_tokens_edited,intervention_scale,activation_delta_l2,generation_seed,output_video_path,output_video_sha256
eval_50288_low,eval_50288_low,top2_oracle_projection,low,0.015021985920547421,0.003203717091866532,0.003771679434390383,-0.01181826882868089,0.9519420017637858,True,,E3_pass,-0.6008372175132037,202.23886350656767,48.732215299913065,50.427505433470174,0.00036581663810693294,0.00432158967865641,1.0,0,0.0014262527313412265,after_block_1,20,20,1088,0,1.0022815498887996,374.0919193240106,17050288,videos/recovery/eval_50288_low__top2_oracle_projection.mp4,4fb7895b51fee34aea5689b27c8b690963c146ff48203ab213caf9eae61b177d
eval_50288_low,eval_50288_low,fit_only_controller,low,0.015021985920547421,0.003203717091866532,0.003676144081359926,-0.01181826882868089,0.9600257028891664,True,,E3_pass,-0.6021374166642018,202.16232010045397,48.525717533390164,50.20344827586207,0.00040122974852118255,0.004270098303048719,1.0,0,0.0019350990217131825,after_block_1,20,20,1088,0,1.0022815498887996,375.2926940917969,17050288,videos/recovery/eval_50288_low__fit_only_controller.mp4,fadfff019dba265e7ca8f95810f0c904e3fafdaaf4d2a516b54c5a6c10579da2
eval_50292_low,eval_50292_low,natural_conflict,low,0.014286287997302681,0.003662082535451897,0.014286287997302683,-0.010624205461850784,0.0,True,,E3_fail,0.5694289686884845,42.63529411764706,71.58227848101266,155.40540540540542,0.004273663642305609,0.035494471130400156,0.921875,5,0.005950339798856508,none,20,20,0,0,0.0,0.0,17050292,videos/recovery/eval_50292_low__natural_conflict.mp4,07b30a2949646d093103a5ef7a598476b7453799512883272dd7584fc6bcf6b6
eval_50292_low,eval_50292_low,full_matched_edit,low,0.014286287997302681,0.003662082535451897,0.0035144074736050517,-0.010624205461850784,1.0138998687833283,True,,E3_pass,-0.6018448791682431,200.99826613096093,48.676521430262845,49.960199004975124,0.00035830165486396394,0.0037388091712650547,1.0,0,0.0012474378098117356,after_block_1,20,20,1088,0,1.0,375.0502756008709,17050292,videos/recovery/eval_50292_low__full_matched_edit.mp4,0bad0c9b3cf9595590fdf12194046400c257c7acd2f7948e06d89baa6bf6b913
eval_50292_low,eval_50292_low,top2_oracle_projection,low,0.014286287997302681,0.003662082535451897,0.004486147728536042,-0.010624205461850784,0.9224351226975811,True,,E3_pass,-0.5976913136129459,201.419716448396,49.169117647058826,50.71874701099952,0.00033753705732490085,0.0047240243675344545,1.0,0,0.002215803426581786,after_block_1,20,20,1088,0,1.0022815498887996,374.6457350707264,17050292,videos/recovery/eval_50292_low__top2_oracle_projection.mp4,f400a1205c767cd889de8ddba80ae4b3c38a3ae4ab00d42e8c9323e6d8078ac3
eval_50292_low,eval_50292_low,fit_only_controller,low,0.014286287997302681,0.003662082535451897,0.004378515875284296,-0.010624205461850784,0.9325659370571329,True,,E3_pass,-0.5985181829129522,201.2914103923648,48.98039215686275,50.556097560975616,0.00032434161966294435,0.004687768341292991,1.0,0,0.0019336841688759598,after_block_1,20,20,1088,0,1.0022815498887996,375.12835693359375,17050292,videos/recovery/eval_50292_low__fit_only_controller.mp4,93913286ddccbe68ac24626f7d1b42737eec4a44d46b19d125164e668e367e0b
eval_50298_low,eval_50298_low,natural_conflict,low,0.020953953894182975,0.014955436928192596,0.020953953894182985,-0.005998516965990379,0.0,True,,E3_fail,0.6048736561100142,45.883597883597886,85.44680851063829,186.3641304347826,0.004538819128104862,0.03731455567299647,0.921875,4,0.006324490337584088,none,20,20,0,0,0.0,0.0,17050298,videos/recovery/eval_50298_low__natural_conflict.mp4,ad40af3fffca6078f778892fd03b1dd1cd96d47a0ba2d9ecef122dca1dfc3634
eval_50298_low,eval_50298_low,full_matched_edit,low,0.020953953894182975,0.014955436928192596,0.01510219975267971,-0.005998516965990379,0.9755334818057179,True,,E3_pass,-0.6050295301305672,203.38515710937872,48.81666985508633,50.04962809713807,0.00042600609621341846,0.015357613855287857,1.0,0,0.0029431582246248755,after_block_1,20,20,1088,0,1.0,374.7386381504649,17050298,videos/recovery/eval_50298_low__full_matched_edit.mp4,4ed0470fcb35d49c0e7b359a674e12a308482252927483430b3222b981eeaff7
eval_50298_low,eval_50298_low,top2_oracle_projection,low,0.020953953894182975,0.014955436928192596,0.014303904607441527,-0.005998516965990379,1.1086155668884565,True,,E3_pass,-0.6047549805360568,201.05623581123507,48.400784313725495,49.5193825851302,0.00037706342252342507,0.014606756975007804,1.0,0,0.0031285569501832144,after_block_1,20,20,1088,0,1.0022815498887996,374.64416982504974,17050298,videos/recovery/eval_50298_low__top2_oracle_projection.mp4,1f97c66f5d9409ad7fdf7953a523031636d1f398ea4bafbbeb6cdb388287103d
eval_50298_low,eval_50298_low,fit_only_controller,low,0.020953953894182975,0.014955436928192596,0.014281802069106724,-0.005998516965990379,1.1123002340253703,True,,E3_pass,-0.6031985937761793,201.234838891234,48.58960396039604,49.80684698904673,0.0003568742200074974,0.01465314419876932,1.0,0,0.0029431582246248755,after_block_1,20,20,1088,0,1.0022815498887996,374.1845703125,17050298,videos/recovery/eval_50298_low__fit_only_controller.mp4,123805c1221a51128920f9935c1c91b012d0ae238365027a4aa499b83684e824
