task,model_seed,checkpoint_step,history_regime,trajectory_id,pair_id,generation_seed,hue_u,input_r,input_g,input_b,true_gravity_band,gravity_true,gravity_hat_e3,gravity_hat_e0,fit_rmse,valid,invalid_reasons,outcome,future_r,future_g,future_b,future_color_coordinate,detector_coverage,max_missing_run,max_adjacent_y_jump,output_video_path,output_video_sha256
free_fall,3407,100000,Long,eval_50027,eval_50027_low,17050027,0.3,179,65,104,low,0.004705016266898658,-0.023783953309317887,0.017174114420456844,0.004021854733454476,True,,E3_fail,162.2902644230769,60.38105911182834,76.67939980870398,-0.35824992636444886,1.0,0,0.004073463859379567,videos/behavior/eval_50027_low__long__u03.mp4,2621a9abab747efce5303d45e15f7e5fedd8daa6b8742fbd2ca393c16a92592b
free_fall,3407,100000,Long,eval_50027,eval_50027_low,17050027,0.6,123,83,160,low,0.004705016266898658,-0.029066359629178157,0.020938620519091514,0.005173867320838277,True,,E3_fail,103.10987249929558,83.15386693423896,127.8324980047885,0.10705105975802573,1.0,0,0.006330874656674146,videos/behavior/eval_50027_low__long__u06.mp4,77c484af5fa362fc15d2f4e836beea8ad23e26633058aea7d805dbca239bd3ae
free_fall,3407,100000,Long,eval_50027,eval_50027_low,17050027,0.9,67,100,216,low,0.004705016266898658,-0.03164920370837672,0.031319441430448645,0.008118263273273167,True,,E3_fail,54.87213333937636,80.19687381202621,166.81217449865312,0.5049524806287311,1.0,0,0.006965679406624181,videos/behavior/eval_50027_low__long__u09.mp4,c0540201af934ab778cfb90670c8b6f755f3583578cac646319b205e525f0c29
free_fall,3407,100000,Long,eval_50028,eval_50028_low,17050028,0.1,216,54,67,low,0.012439960016839068,-0.04567008328823862,0.03151009041514468,0.008860319807019007,True,,E3_fail,151.69409833923936,43.76301943106817,51.4367983711204,-0.49356007181454686,1.0,0,0.010645998726068973,videos/behavior/eval_50028_low__long__u01.mp4,499ca9f2baa5c79624b7a528f7e6516f2434aecac1844e1e8b382ce87fe5e4fe
free_fall,3407,100000,Long,eval_50028,eval_50028_low,17050028,0.4,160,71,123,low,0.012439960016839068,-0.05035488722524122,0.03294726397929794,0.009640038658509032,True,,E3_fail,103.6458495107936,62.38104145601618,83.38294815358279,-0.10834107693710636,1.0,0,0.009827934187652376,videos/behavior/eval_50028_low__long__u04.mp4,38ea92299ac242f0e7d4b68f517c6277e561053781baaea6005eea767bc19733
free_fall,3407,100000,Long,eval_50028,eval_50028_low,17050028,0.7,104,89,179,low,0.012439960016839068,-0.05795606442983975,0.0383251414382196,0.013068958174894823,True,,E3_fail,61.08270797731382,70.28450653555582,131.14931840311587,0.3644897873944218,1.0,0,0.013205429740862806,videos/behavior/eval_50028_low__long__u07.mp4,9944e6674447197e2cb1a094a02ea68937a0216ac10eccfcc5a8675e777d2dfa
free_fall,3407,100000,Long,eval_50028,eval_50028_low,17050028,1.0,48,106,235,low,0.012439960016839068,-0.06384357485608709,0.04214030222053713,0.015168267782169767,True,,E3_fail,40.2918201624084,77.14486670084594,166.54499914551823,0.6103999249531623,1.0,0,0.015666619823882066,videos/behavior/eval_50028_low__long__u10.mp4,9e9c3e724d20c3f36c060d2055d04d336446161a784f172eab3084d74da4d3d3
free_fall,3407,100000,Long,eval_50029,eval_50029_low,17050029,0.2,198,60,85,low,0.014681276865603991,-0.05068153269109416,0.035036986497072424,0.012119337919683707,True,,E3_fail,138.2022621423819,49.62176108915239,60.58284430588667,-0.3904689804147594,1.0,0,0.011191494464207086,videos/behavior/eval_50029_low__long__u02.mp4,e6eeb93b80c6d4352e10506b031e6301235db7cfa494aedfbd42e77bf1770cdb
free_fall,3407,100000,Long,eval_50029,eval_50029_low,17050029,0.5,142,77,142,low,0.014681276865603991,-0.06698560342641402,0.037809083755649626,0.01617819938947408,True,,E3_fail,83.31849056603772,66.08898944193061,99.7409515137719,0.0897110837941606,1.0,0,0.015516324892745459,videos/behavior/eval_50029_low__long__u05.mp4,623ad088ec4f39ee2b13dd08155649fcce0ff3875fbd0b8554be113fd1ba67ab
free_fall,3407,100000,Long,eval_50029,eval_50029_low,17050029,0.8,85,94,198,low,0.014681276865603991,-0.07204433676592428,0.044853374872799806,0.017097203470879643,True,,E3_fail,51.74430913721745,70.4034011775133,140.40966112740307,0.4614286754943532,1.0,0,0.022530820011135044,videos/behavior/eval_50029_low__long__u08.mp4,078176adbc1189907e2c24d5a742030f739fe42dc271d028a2dde999f6c5f0cb
free_fall,3407,100000,Long,eval_50030,eval_50030_low,17050030,0.0,235,48,48,low,0.01939035744066626,-0.03843393336247518,0.03788609022937435,0.012727810272773523,True,,E3_fail,147.0862914862915,42.257028964726125,48.02056962025317,-0.507751092422832,1.0,0,0.012057265569076603,videos/behavior/eval_50030_low__long__u00.mp4,7e5043eb6b7fbd5fe07230ed9d3448f6a6725a96ca651eb8c4b115c7f1cb7e5a
free_fall,3407,100000,Long,eval_50030,eval_50030_low,17050030,0.3,179,65,104,low,0.01939035744066626,-0.05268586752275614,0.04054701106519525,0.018383907379577687,True,,E3_fail,108.36761885648025,57.66701459302557,75.15240892066734,-0.1809895646710924,1.0,0,0.01690017058369986,videos/behavior/eval_50030_low__long__u03.mp4,79dded038cc7afd6c0e5706885430cf5fda6071cadb7bdea6679818e19791bfe
free_fall,3407,100000,Long,eval_50030,eval_50030_low,17050030,0.6,123,83,160,low,0.01939035744066626,-0.06251568274926189,0.04763044967856199,0.01872308918753314,True,,E3_fail,67.4935427398872,64.67176494384162,112.0911330049261,0.2483373933776569,1.0,0,0.01917589248712337,videos/behavior/eval_50030_low__long__u06.mp4,9270a3dd5e799887c710e108cc16fe95c2b0aa55b24fd9739bf96bcd4d322aa3
free_fall,3407,100000,Long,eval_50030,eval_50030_low,17050030,0.9,67,100,216,low,0.01939035744066626,-0.07396565413988616,0.055913328242351894,0.021319669181316364,True,,E3_fail,45.64680232558139,69.7652770959987,147.9784377134134,0.5285035947132853,1.0,0,0.016406463684793038,videos/behavior/eval_50030_low__long__u09.mp4,61d0a93032b619c0ed606942c253f858778ebb9cf6c01a2284b6fdeb67af8773
