receiver_id,condition,omega_hat,valid,detected_color,omega_true,trajectory_rmse,omega_class
A_206,conflict,2.567875,True,red,5.856216318501927,0.14582718711210618,slow
A_207,aligned,5.489625,True,blue,6.038778901407918,0.08458907445624288,fast
A_207,conflict,2.657,True,red,6.038778901407918,0.14798790961179698,slow
A_208,aligned,6.039875,True,blue,6.063418941332665,0.010634188663190249,fast
A_208,conflict,2.5020000000000002,True,red,6.063418941332665,0.15582535682712537,slow
A_209,aligned,6.26075,True,blue,5.8256276394701505,0.10174753322492205,fast
A_209,conflict,2.769375,True,red,5.8256276394701505,0.17623973238480473,slow
A_210,aligned,5.47025,True,blue,5.345553686244472,0.022660191909301908,fast
A_210,conflict,2.505875,True,red,5.345553686244472,0.17867425005971968,slow
A_211,aligned,5.590375,True,blue,5.566517218571293,0.015464947017316199,fast
A_211,conflict,2.815875,True,red,5.566517218571293,0.16053941617616646,slow
A_212,aligned,6.33825,True,blue,5.725938174738664,0.07719895804368364,fast
A_212,conflict,2.529125,True,red,5.725938174738664,0.1406708092232776,slow
A_213,aligned,5.737625,True,blue,5.809382097793553,0.013142457002731235,fast
A_213,conflict,2.769375,True,red,5.809382097793553,0.1752744085398413,slow
A_214,aligned,5.64075,True,blue,5.908724964375369,0.055302320444130915,fast
A_214,conflict,2.792625,True,red,5.908724964375369,0.1679235717842063,slow
A_215,aligned,5.714375,True,blue,6.043031351432499,0.07234352817433526,fast
A_215,conflict,2.3392500000000003,True,red,6.043031351432499,0.16039621296473014,slow
A_216,aligned,5.633,True,blue,5.471951318907306,0.02598959015489787,fast
A_216,conflict,3.079375,True,red,5.471951318907306,0.10295867132008561,
A_217,aligned,6.4273750000000005,True,blue,6.091639894841288,0.06933353175666802,
A_217,conflict,2.8468750000000003,True,red,6.091639894841288,0.15985924508353497,slow
A_218,aligned,5.520625,True,blue,6.299149874769827,0.142504158750385,fast
A_218,conflict,2.843,True,red,6.299149874769827,0.16356069412672497,slow
A_219,aligned,5.5051250000000005,True,blue,5.652279136469484,0.04282244561262253,fast
A_219,conflict,2.5020000000000002,True,red,5.652279136469484,0.16449717789426607,slow
A_220,aligned,5.509,True,blue,5.698641987431393,0.038616081406522895,fast
A_220,conflict,2.6221250000000005,True,red,5.698641987431393,0.15924016020508394,slow
A_221,aligned,5.42375,True,blue,6.070759767267115,0.09962346504115616,fast
A_221,conflict,2.637625,True,red,6.070759767267115,0.14693969017159425,slow
A_222,aligned,6.1755,True,blue,6.322772996218217,0.0234771893998495,fast
A_222,conflict,2.862375,True,red,6.322772996218217,0.18142942805679216,slow
A_223,aligned,5.729875,True,blue,5.306484131815698,0.06263284679344977,fast
A_223,conflict,2.769375,True,red,5.306484131815698,0.10875636597801638,slow
A_224,aligned,6.295625,True,blue,5.630429326149973,0.13349370245371414,fast
A_224,conflict,2.6492500000000003,True,red,5.630429326149973,0.17235042147043506,slow
A_225,aligned,5.977875,True,blue,6.393381876567729,0.07334626409398072,fast
A_225,conflict,2.9050000000000002,True,red,6.393381876567729,0.14617149906697688,slow
A_226,aligned,5.5748750000000005,True,blue,5.705021593181554,0.027301121476558058,fast
A_226,conflict,2.89725,True,red,5.705021593181554,0.14957890613102745,slow
A_227,aligned,5.602,True,blue,5.77466009207819,0.02941039470399498,fast
A_227,conflict,3.071625,True,red,5.77466009207819,0.1212259841631083,
A_228,aligned,6.489375,True,blue,6.108073539191642,0.08423364856412535,
A_228,conflict,2.660875,True,red,6.108073539191642,0.17614810851734994,slow
A_229,aligned,5.726,True,blue,5.829312879914673,0.023608558465035536,fast
A_229,conflict,3.1568750000000003,True,red,5.829312879914673,0.14142198335988354,
A_230,aligned,5.698875,True,blue,5.957659684876923,0.045957750265886374,fast
A_230,conflict,2.6453750000000005,True,red,5.957659684876923,0.13914014269931632,slow
A_231,aligned,5.5555,True,blue,5.897321621439886,0.04340873744277132,fast
A_231,conflict,2.8468750000000003,True,red,5.897321621439886,0.1407367575227387,slow
A_232,aligned,6.6133750000000004,True,blue,6.292564279895933,0.05661197096431641,
A_232,conflict,3.14525,True,red,6.292564279895933,0.151879389629577,
A_233,aligned,5.22225,True,blue,5.509826288376311,0.055703862582295684,fast
A_233,conflict,3.009625,True,red,5.509826288376311,0.15916893995311981,
A_234,aligned,5.9662500000000005,True,blue,5.236579638557113,0.11534380399158012,fast
A_234,conflict,2.753875,True,red,5.236579638557113,0.13712778063277561,slow
A_235,aligned,5.40825,True,blue,6.155375306351012,0.15448036790483344,fast
A_235,conflict,2.8933750000000003,True,red,6.155375306351012,0.18443572712007356,slow
A_236,aligned,5.993375,True,blue,6.311784924190442,0.05726426265057747,fast
A_236,conflict,3.0406250000000004,True,red,6.311784924190442,0.15592855217303087,
