receiver_id,pair_id,direction,target_label,condition,omega_true,omega_natural,omega_aligned,omega_edited,recovery_denominator,normalized_recovery,valid,outcome,invalid_reasons,detection_rate,max_missing_run,max_adjacent_jump_px,median_length_error,boundary_jump_px,median_area_px,area_valid,fit_valid,fit_rmse,detected_color,detected_shape,intervention_layer_zero_based,fm_calls_observed,fm_calls_expected,intervention_scale,condition_prefix_tokens_edited,target_suffix_tokens_edited,activation_delta_l2,output_video_path
B_144,,B,low,full_matched,2.6591283962747805,5.819,2.552375,2.6918750000000005,-3.266625,0.9572953736654803,True,physics,,0.984375,1,1.0757598936200132,0.001358836353168802,1.0470446873747545,176.0,True,True,0.0057663136278603205,red,circle,12,20,20,1.0,1088,0,245.44778442382812,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/B_144/edit_full_d.mp4
B_144,,B,low,top4_oracle,2.6591283962747805,5.819,2.552375,2.75,-3.266625,0.9395017793594306,True,physics,,0.984375,1,1.2381794970283777,0.0012470634676778336,1.0293090305573607,176.0,True,True,0.005890410471929205,red,circle,12,20,20,1.0,1088,0,239.91597482499404,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/B_144/edit_rank_4.mp4
B_144,,B,low,fit_only_predicted,2.6591283962747805,5.819,2.552375,2.72675,-3.266625,0.9466192170818506,True,physics,,0.984375,1,1.2069026537112406,0.0014102103906606378,0.9730300512668854,175.0,True,True,0.005950094849470425,red,circle,12,20,20,1.0,1088,0,224.6462239683459,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/paper_revision_20260826/top4_controller_block12/heldout/B/B_144/scale_1p00.mp4
B_148,,B,low,natural_conflict,2.591328001939601,5.323,2.405125,5.3191250000000005,-2.9178750000000004,0.0,True,shortcut,,1.0,0,2.3366734932698225,0.01645657884225024,3.1289448766709778,212.0,True,True,0.00408442281257934,blue,circle,,0,0,0.0,0,0,0.0,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/strict_bank/natural_videos/B_148/conflict.mp4
B_148,,B,low,full_matched,2.591328001939601,5.323,2.405125,2.936,-2.9178750000000004,0.8180610889774237,True,physics,,0.984375,1,0.9687458817901954,0.0010489085355491201,1.8562953107079547,178.0,True,True,0.019613764059288306,red,circle,12,20,20,1.0,1088,0,243.41319274902344,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/B_148/edit_full_d.mp4
B_148,,B,low,top4_oracle,2.591328001939601,5.323,2.405125,2.8546250000000004,-2.9178750000000004,0.845949535192563,True,physics,,0.984375,1,0.76661855404743,0.0008409762103189222,1.3700218290278725,176.0,True,True,0.020588053162405938,red,circle,12,20,20,1.0,1088,0,239.47731052634552,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/B_148/edit_rank_4.mp4
B_148,,B,low,fit_only_predicted,2.591328001939601,5.323,2.405125,2.8817500000000003,-2.9178750000000004,0.8366533864541832,True,physics,,0.984375,1,0.7205062714033149,0.0010821162554234265,1.2672073815748044,176.0,True,True,0.022768912930217225,red,circle,12,20,20,1.0,1088,0,225.81185253150866,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/paper_revision_20260826/top4_controller_block12/heldout/B/B_148/scale_1p00.mp4
B_149,,B,low,natural_conflict,2.4342384030001014,5.5051250000000005,2.521375,5.5051250000000005,-2.9837500000000006,0.0,True,shortcut,,1.0,0,3.282114107972049,0.01801098008547039,3.2049828718521898,211.5,True,True,0.005600383889000558,blue,circle,,0,0,0.0,0,0,0.0,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/strict_bank/natural_videos/B_149/conflict.mp4
B_149,,B,low,full_matched,2.4342384030001014,5.5051250000000005,2.521375,2.57175,-2.9837500000000006,0.9831168831168831,True,physics,,0.984375,1,0.8262168986979068,0.0011549125207808153,0.5151333711351928,179.0,True,True,0.005641199034980424,red,circle,12,20,20,1.0,1088,0,246.2886199951172,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/B_149/edit_full_d.mp4
B_149,,B,low,top4_oracle,2.4342384030001014,5.5051250000000005,2.521375,2.614375,-2.9837500000000006,0.9688311688311688,True,physics,,0.984375,1,0.9132071278420544,0.0011096805990858383,0.5196770838030526,179.0,True,True,0.005234041340717971,red,circle,12,20,20,1.0,1088,0,240.51434832284082,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/stage3_low_rank_causal_route/videos/B_149/edit_rank_4.mp4
B_149,,B,low,fit_only_predicted,2.4342384030001014,5.5051250000000005,2.521375,2.6453750000000005,-2.9837500000000006,0.9584415584415583,True,physics,,0.984375,1,0.9408853370189354,0.0010651215539785874,0.5196770838030526,178.0,True,True,0.0051673025724065505,red,circle,12,20,20,1.0,1088,0,226.95903024477445,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/paper_revision_20260826/top4_controller_block12/heldout/B/B_149/scale_1p00.mp4
B_150,,B,low,natural_conflict,2.8798234353759016,5.931375,2.781,5.939125,-3.150375,0.0,True,shortcut,,1.0,0,2.6287270508180485,0.01675183633022609,1.2061246035780528,212.5,True,True,0.0042682495617120874,blue,circle,,0,0,0.0,0,0,0.0,runs/pendulum/unified_mechanism_v2/mechanism/large_seed3407_short/strict_bank/natural_videos/B_150/conflict.mp4
